Iteration ,Eigenvalue, Calculation Time
0,-108.958190899,23.43382
1,-108.978941552,51.638688
2,-109.008822454,111.741862
3,-109.023363061,197.18633
4,-109.032674827,284.429281
5,-109.039426965,371.794078
6,-109.042656656,461.349745
7,-109.043991182,553.535071
8,-109.044847631,649.923072
9,-109.045471679,747.876771
10,-109.045817467,847.212191
11,-109.046293617,947.463369
12,-109.046489809,1046.506015
13,-109.046651965,1144.997545
14,-109.046921013,1242.396826
15,-109.047106099,1339.797804
16,-109.047151595,1437.20122
17,-109.047162377,1533.691869
18,-109.047171083,1630.684298
19,-109.047175475,1726.974494
