Iteration ,Eigenvalue, Calculation Time
0,-109.03460211,39.473796
1,-109.058914636,86.788674
2,-109.078789992,163.073206
3,-109.110803512,362.350001
4,-109.170432356,941.600458
5,-109.212822391,2109.645822
6,-109.23237136,3581.906401
7,-109.243243379,5331.684549
8,-109.248519758,7487.235456
9,-109.252457172,9375.140681
10,-109.255165118,11321.139388
11,-109.257525754,13344.406279
12,-109.260333714,15498.298777
13,-109.262943364,17760.911875
14,-109.264776962,20077.049726
15,-109.266304065,22418.565619
16,-109.267853498,24712.578492
17,-109.268752953,26982.90051
18,-109.269371232,29206.566628
19,-109.269723174,31357.458518
