Iteration ,Eigenvalue, Calculation Time
0,-76.1015041714,0.974134
1,-76.1216488242,3.399964
2,-76.1547669511,10.203021
3,-76.1942028927,59.695039
4,-76.2183917937,366.969738
5,-76.2409814166,1188.262647
6,-76.2465447754,1962.536993
7,-76.2489750566,2700.682447
8,-76.2493418118,3336.712855
9,-76.2498601443,3966.516243
10,-76.2503415542,4623.490791
11,-76.2506591098,5249.104732
12,-76.2508882716,5863.952945
13,-76.2510039287,6438.579252
14,-76.2510360941,6990.335255
