Iteration ,Eigenvalue, Calculation Time
0,-76.1015041714,0.973337
1,-76.1216488242,3.42134
2,-76.1547669511,10.163308
3,-76.1934818171,39.122146
4,-76.2119127022,94.033338
5,-76.2209267935,151.514952
6,-76.2273070429,206.314877
7,-76.2315142654,262.779446
8,-76.2323867038,311.903378
9,-76.2348143173,364.167886
10,-76.2357149581,414.125025
11,-76.2364171722,462.312692
12,-76.2366594264,506.888578
13,-76.2367653636,550.508085
14,-76.2368346673,593.716869
