Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-108.745349068,0.00498679278703,21.066827,0.159777376058
1,-108.74570553,0.0788899143608,47.203572,0.114553102213
2,-108.74866799,0.266756585974,240.537844,0.219902325555
3,-108.752997219,0.626582304025,478.372765,0.112589990684
4,-108.753998654,0.922095915213,767.121163,0.0900719925474
5,-108.768079729,1.08196744176,1125.833243,0.0720575940379
6,-108.770143824,1.12438462509,1419.824274,0.0720575940379
7,-108.773730447,1.3814727761,1786.33638,0.0576460752303
8,-108.779110255,1.50091625434,2156.902519,0.0461168601843
9,-108.79531602,1.57619081606,2528.35836,0.0368934881474
10,-108.809806554,1.36535570283,2822.197609,0.0368934881474
11,-108.817779575,1.23096989611,3115.510229,0.0368934881474
12,-108.825344108,1.23907885791,3406.570259,0.0368934881474
13,-108.827988223,1.29371362457,3697.706941,0.0368934881474
14,-108.832497604,1.43458439358,3990.459274,0.0368934881474
15,-108.844973336,1.5116047758,4362.030621,0.0295147905179
16,-108.851289812,1.30050776321,4657.921361,0.0295147905179
17,-108.852356858,1.27580539706,4950.690951,0.0295147905179
18,-108.853568351,1.45860495331,5244.639354,0.0295147905179
19,-108.857693886,1.70789016383,5606.064718,0.0236118324143
20,-108.862531333,1.66362642318,5897.403557,0.0236118324143
21,-108.86340311,1.64853784701,6190.543039,0.0236118324143
22,-108.873472434,1.87404360158,6553.519042,0.0188894659315
23,-108.87800152,1.61361603743,6844.362866,0.0188894659315
24,-108.88162759,1.54939889832,7139.955888,0.0188894659315
