Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-109.012922742,0.0243181222536,20.4936,1.38366079531
1,-109.015640979,0.146900259677,50.159721,0.269544319366
2,-109.015749182,0.42681378321,286.900325,0.0576460752303
3,-109.027613562,0.603925222299,354.31743,0.0576460752303
4,-109.0439796,0.674731122135,520.355608,0.0576460752303
5,-109.070795086,0.946282261777,809.287241,0.0576460752303
6,-109.091869668,1.00820972153,1101.869792,0.0576460752303
7,-109.09462473,1.1051346366,1394.05306,0.0576460752303
8,-109.10981838,1.50438593081,1829.410351,0.0368934881474
9,-109.122877922,1.21226843203,2122.00524,0.0368934881474
10,-109.135556273,1.02144244204,2417.861343,0.0368934881474
11,-109.145133169,0.939359624725,2712.996223,0.0368934881474
12,-109.157298773,0.95033844143,3007.958429,0.0368934881474
13,-109.166484201,0.836501523552,3303.483262,0.0368934881474
14,-109.174431613,0.835310267053,3598.767141,0.0368934881474
15,-109.179444892,0.853722131421,3894.08387,0.0368934881474
16,-109.182278962,0.906102692929,4189.948978,0.0368934881474
17,-109.182752667,0.949438458482,4482.276464,0.0368934881474
18,-109.187659587,0.977548805781,4852.986036,0.0295147905179
19,-109.18983701,0.677929178602,5143.961293,0.0295147905179
20,-109.192537109,0.593607344381,5439.077316,0.0295147905179
21,-109.194856339,0.53637396824,5732.451602,0.0295147905179
22,-109.197158559,0.520079448937,6029.137179,0.0295147905179
23,-109.199255725,0.485711583824,6321.529115,0.0295147905179
24,-109.200976154,0.451661856214,6617.894746,0.0295147905179
