Iteration ,Eigenvalue, Calculation Time
0,-109.036238621,39.185518
1,-109.056034216,84.71072
2,-109.072521368,159.442774
3,-109.103727513,377.129041
4,-109.158741959,837.414372
5,-109.189724418,1785.486855
6,-109.199192635,2857.075436
7,-109.203805112,3892.876576
8,-109.206784997,4876.955733
9,-109.208732317,5851.528852
10,-109.210070016,6813.318694
11,-109.211040535,7749.932231
12,-109.211859099,8671.043778
13,-109.212642574,9557.362631
14,-109.213166076,10434.391221
15,-109.21350614,11289.756257
16,-109.213802522,12138.469807
17,-109.21412977,12984.506386
18,-109.214425613,13824.444945
19,-109.214665543,14668.747706
20,-109.214854548,15503.474041
21,-109.21502336,16335.554016
22,-109.215192154,17159.167659
23,-109.215368229,17974.835179
24,-109.215540738,18794.177331
25,-109.215686191,19612.70292
26,-109.215792186,20427.322608
27,-109.215862374,21231.660793
28,-109.215908116,22029.517211
29,-109.215939261,22814.837583
30,-109.215961924,23591.257382
31,-109.215979623,24368.501128
32,-109.215994424,25149.795251
33,-109.216007491,25929.235751
34,-109.216019533,26703.209064
35,-109.21603088,27478.831476
36,-109.21604171,28257.189864
37,-109.216052073,29036.305165
38,-109.216062041,29811.042972
39,-109.216071588,30589.390988
