Iteration ,Eigenvalue, Calculation Time
0,-109.03460211,39.696168
1,-109.058914636,87.404697
2,-109.079995055,155.385096
3,-109.105856751,300.711697
4,-109.120161529,502.614077
5,-109.123270142,707.514309
6,-109.125590292,890.067219
7,-109.126590272,1083.170473
8,-109.127266774,1258.721837
9,-109.128392674,1449.544757
10,-109.130838974,1644.765804
11,-109.131328385,1839.832985
12,-109.13156998,2027.588673
13,-109.131790019,2218.167388
14,-109.132176171,2412.673193
15,-109.132979405,2612.008096
16,-109.133857251,2822.854545
17,-109.134899496,3033.454271
18,-109.135432077,3248.760895
19,-109.13590268,3462.990626
