Iteration ,Eigenvalue, Projected Residual,Calculation Time,Step Size
0,-108.875958059,0.0126480249186,25.164334,0.87100518868
1,-108.881116283,0.175063365809,49.274338,0.338784757278
2,-108.883538057,0.411910538368,97.244831,0.112589990684
3,-108.906739522,0.646025452237,110.079214,0.112589990684
4,-108.930204375,0.627918158369,135.968992,0.112589990684
5,-108.950328481,0.726329895893,187.604236,0.112589990684
6,-108.953780025,0.927613604455,262.476155,0.112589990684
7,-108.96021004,1.24395016748,484.776212,0.0900719925474
8,-108.975088869,1.22208805117,842.645603,0.0720575940379
9,-108.982884362,1.03129209459,1135.435422,0.0720575940379
10,-108.98328391,1.12812855529,1505.361408,0.0576460752303
11,-108.993750532,1.65891779859,1950.693837,0.0368934881474
12,-109.02035146,1.44243925709,2239.980942,0.0368934881474
13,-109.031227925,1.04939642199,2530.505943,0.0368934881474
14,-109.042389911,1.08770805693,2825.15889,0.0368934881474
15,-109.050568206,1.0620380148,3118.821361,0.0368934881474
16,-109.051656994,1.12369400819,3407.631792,0.0368934881474
17,-109.051743121,1.32126168983,3697.946193,0.0368934881474
18,-109.059735261,1.47222346244,4057.881387,0.0295147905179
19,-109.064685889,1.16295165468,4351.78774,0.0295147905179
20,-109.068852039,0.959469537442,4644.703185,0.0295147905179
21,-109.072726177,0.832735802703,4935.678033,0.0295147905179
22,-109.075412594,0.773383324339,5229.478674,0.0295147905179
23,-109.078656424,0.777256325179,5523.757702,0.0295147905179
24,-109.082447378,0.756421936019,5817.50644,0.0295147905179
