Iteration ,Eigenvalue, Calculation Time
0,-108.734609604,16.729476
1,-108.734610105,32.222186
2,-108.734610132,47.475416
3,-108.734610134,62.37619
4,-108.734610126,77.254773
5,-108.734610132,92.359247
6,-108.734610122,107.548422
7,-108.734477729,122.452071
8,-108.732391044,137.384582
9,-108.726923956,152.468436
10,-108.724867175,167.852885
11,-108.729458536,183.171549
12,-108.732584062,198.430499
13,-108.735534963,214.208761
14,-108.73559034,229.68333
15,-108.735591337,245.234705
16,-108.734501868,260.568118
17,-108.734451094,276.09061
18,-108.731640559,291.706197
19,-108.73087519,307.368518
