Iteration ,Eigenvalue, Calculation Time
0,-76.1015041714,8.175578
1,-76.1216488242,33.313975
2,-76.1547669511,135.634951
3,-76.1942028927,426.144318
4,-76.2194009471,1497.782578
5,-76.2466582635,6355.39946
6,-76.2533833843,12053.279571
7,-76.254260913,15457.519407
8,-76.2546214356,18359.196166
9,-76.2547551405,20816.676457
10,-76.2547898341,22965.553907
11,-76.2548048639,25170.706221
12,-76.2548178813,27609.409031
13,-76.2548324774,30030.904364
14,-76.2548389312,32104.380001
