Iteration ,Eigenvalue, Calculation Time
0,-108.527495402,21.825913
1,-108.541845971,52.268224
2,-108.566116528,121.481572
3,-108.58433938,208.281711
4,-108.593068569,297.702452
5,-108.598170774,391.93759
6,-108.601043919,490.393879
7,-108.604637116,592.780806
8,-108.60738531,697.608239
9,-108.608631773,803.599917
10,-108.609417315,911.354518
11,-108.609923259,1019.526892
12,-108.610520604,1128.39803
13,-108.610959747,1237.96302
14,-108.611199886,1347.734543
15,-108.611387216,1457.376142
16,-108.611487117,1567.206188
17,-108.611801434,1677.365229
18,-108.61211829,1787.495945
19,-108.612589514,1897.427206
